# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ahl2_580plaza
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
ttt_random_weapon	-931.757263 1447.148682 243.312820	0.348 2.560 -99.373
ttt_random_weapon	-975.263550 1444.525635 243.313095	0.392 2.525 -99.132
ttt_random_weapon	-1024.058960 1445.004395 243.312698	0.329 2.477 -99.475
ttt_random_weapon	-884.587097 1214.296387 245.881500	0.335 2.656 -99.442
ttt_random_weapon	-1036.773926 1182.944458 243.857544	-0.348 3.841 -99.755
ttt_random_weapon	-731.703125 1434.054565 245.611923	-0.227 3.074 -99.018
ttt_random_weapon	-373.903381 1735.357788 209.289581	0.912 2.841 -97.713
ttt_random_weapon	-581.239624 1723.994141 209.299423	0.751 2.884 -98.013
ttt_random_weapon	480.271210 1645.274658 209.313324	0.429 2.535 -98.925
ttt_random_weapon	699.045532 570.159729 233.708359	0.468 2.898 -98.712
ttt_random_weapon	622.643738 115.939026 245.881989	0.415 3.550 -99.005
ttt_random_weapon	479.665253 15.528064 245.854965	-0.335 3.090 -99.210
ttt_random_weapon	552.775818 240.964325 245.879288	0.569 7.074 -98.351
ttt_random_weapon	454.699280 451.880951 245.865829	-0.040 6.795 -102.155
ttt_random_weapon	416.284821 247.156570 1.287865	0.940 2.885 -97.661
ttt_random_weapon	-465.382446 103.023987 25.427490	0.493 2.917 -98.574
ttt_random_weapon	-228.822250 555.691040 50.313023	0.380 2.515 -99.197
ttt_random_weapon	-2.588062 552.290039 50.312454	0.289 2.516 -99.698
ttt_random_weapon	64.550964 923.756958 1.286168	-0.409 2.721 -99.696
ttt_random_weapon	869.655701 857.103516 1.289305	-0.278 2.771 -99.373
ttt_random_weapon	886.105103 1212.950928 25.706123	0.561 3.254 -98.367
ttt_random_weapon	835.113586 1281.376587 25.283831	-0.425 0.337 -99.386
ttt_random_weapon	151.120712 1012.971802 209.312851	0.354 1.743 -99.340
ttt_random_weapon	-265.374817 1003.264099 209.312531	0.305 2.542 -99.607
ttt_random_weapon	-284.587738 1202.207153 209.313202	0.409 2.527 -99.036
ttt_random_weapon	136.680054 1209.754272 209.312561	0.331 2.683 -99.473
ttt_random_weapon	-479.697540 843.442444 209.288620	0.927 2.865 -97.684
ttt_random_weapon	147.736160 352.305969 209.303177	0.690 2.880 -98.127
ttt_random_weapon	-958.066284 706.462280 21.313620	0.480 2.647 -98.646
ttt_random_weapon	-418.777466 1226.441650 1.300882	0.727 2.882 -98.057
ttt_random_weapon	-475.324646 1207.069458 1.285392	0.980 2.888 -97.586
ttt_random_weapon	-116.501183 1334.389648 1.289760	0.909 2.892 -97.719
ttt_random_weapon	-125.125008 1317.660400 1.288255	0.933 2.885 -97.673
ttt_random_ammo	-1099.744263 1705.425171 246.374481	0.122 0.000 0.085
ttt_random_ammo	-1103.794556 1663.572388 246.376175	0.136 0.000 0.103
ttt_random_ammo	-1100.816895 1684.750610 246.382492	0.217 0.001 0.205
ttt_random_ammo	-1101.389526 1729.542236 255.429840	0.067 0.000 0.019
ttt_random_ammo	-1101.051147 1769.652344 249.924332	7.784 0.692 0.096
ttt_random_ammo	-1098.880005 1631.682373 250.698700	7.521 0.665 0.090
ttt_random_ammo	-1104.652466 1604.854248 256.436188	0.094 0.000 0.055
ttt_random_ammo	-879.333008 1194.921753 244.958954	-0.057 0.000 -0.131
ttt_random_ammo	-1044.034424 1169.612305 242.943115	0.011 0.000 -0.057
ttt_random_ammo	-732.028320 1450.472290 244.707565	0.040 -0.000 0.014
ttt_random_ammo	-358.054504 1760.208008 208.444977	1.131 0.029 1.375
ttt_random_ammo	-386.183075 1759.372070 208.325317	0.047 0.000 -0.032
ttt_random_ammo	-599.713806 1753.552246 208.347626	-0.050 -0.000 -0.017
ttt_random_ammo	-565.801331 1759.451660 208.354218	-0.055 -0.000 -0.007
ttt_random_ammo	483.536102 1627.738770 208.339981	0.047 0.000 -0.023
ttt_random_ammo	480.333496 1613.774292 208.346817	0.050 0.000 -0.017
ttt_random_ammo	721.914063 554.718994 232.830734	1.458 0.036 1.751
ttt_random_ammo	697.079041 401.400299 244.918945	0.037 0.000 -0.039
ttt_random_ammo	685.516663 401.961456 244.960632	-0.071 0.000 -0.147
ttt_random_ammo	619.277466 93.635483 244.918945	0.037 0.000 -0.039
ttt_random_ammo	479.001282 -7.312195 244.887482	0.049 0.000 -0.042
ttt_random_ammo	489.262512 -5.578987 244.940048	-0.038 -0.000 -0.023
ttt_random_ammo	532.638489 257.050903 244.970123	0.072 -0.000 -0.035
ttt_random_ammo	543.505920 263.772797 244.898163	0.046 -0.000 0.037
ttt_random_ammo	433.916473 465.291718 244.912521	0.042 -0.000 0.034
ttt_random_ammo	447.094055 474.042145 244.953522	0.023 0.000 0.092
ttt_random_ammo	425.702057 267.359802 0.361549	0.067 0.000 0.012
ttt_random_ammo	434.353760 228.281464 0.359550	0.064 0.000 0.006
ttt_random_ammo	427.437958 131.392990 0.377832	0.152 0.001 0.124
ttt_random_ammo	-491.655060 115.541824 24.585501	1.032 0.032 1.282
ttt_random_ammo	-467.263184 119.884789 24.557680	1.325 0.035 1.586
ttt_random_ammo	-520.213623 235.417725 24.382135	0.032 0.155 -0.079
ttt_random_ammo	-495.222046 191.551575 24.150822	0.046 0.000 -0.003
ttt_random_ammo	-496.573334 277.397858 24.184935	0.045 0.000 -0.006
ttt_random_ammo	-347.176544 556.255066 49.453327	0.892 0.025 1.079
ttt_random_ammo	-300.899292 559.255310 49.428547	0.045 -0.164 -0.039
ttt_random_ammo	-177.778656 551.637512 49.378323	-0.137 -0.000 0.104
ttt_random_ammo	-148.586456 553.471619 49.343063	-0.048 -0.000 -0.021
ttt_random_ammo	54.463123 935.201111 0.314673	0.046 0.000 -0.035
ttt_random_ammo	237.450867 771.664856 0.388039	0.341 0.002 0.361
ttt_random_ammo	278.728271 763.465637 0.344520	0.047 0.000 -0.019
ttt_random_ammo	567.582153 749.472717 0.369129	0.087 0.000 0.042
ttt_random_ammo	849.208008 740.101990 0.381025	0.179 0.001 0.160
ttt_random_ammo	850.104248 768.027039 0.389262	0.388 0.002 0.419
ttt_random_ammo	890.252747 1200.395020 24.879089	-0.328 -0.020 0.391
ttt_random_ammo	893.070984 1233.624756 24.807430	0.352 0.002 0.385
ttt_random_ammo	840.512451 1272.402588 24.373384	0.111 0.093 -0.109
ttt_random_ammo	692.113464 1279.367188 24.390457	0.111 0.030 0.073
ttt_random_ammo	590.770142 1264.411133 24.441807	-0.186 -0.237 -0.255
ttt_random_ammo	143.207581 990.104492 208.349030	0.051 0.000 -0.014
ttt_random_ammo	121.656906 995.899109 208.365417	0.078 0.000 0.027
ttt_random_ammo	-286.577179 995.540222 208.359543	0.063 0.000 0.006
ttt_random_ammo	-266.445526 991.225708 208.374481	0.122 0.000 0.086
ttt_random_ammo	-285.596954 1221.947632 208.342300	0.048 0.000 -0.021
ttt_random_ammo	-268.771881 1214.037598 208.426590	1.526 0.036 1.855
ttt_random_ammo	139.063644 1217.918091 208.456436	-0.067 16.237 1.095
ttt_random_ammo	125.025215 1223.608521 208.346817	0.050 0.000 -0.017
ttt_random_ammo	-460.781250 811.488220 208.379440	0.169 0.001 0.145
ttt_random_ammo	-482.192566 812.117859 208.414490	-0.155 0.304 -0.332
ttt_random_ammo	-455.512054 570.924011 208.387863	-0.252 -0.001 0.248
ttt_random_ammo	-423.040680 524.866394 208.376419	-0.124 -0.000 0.088
ttt_random_ammo	-375.935730 496.667816 208.384064	-0.198 -0.001 0.180
ttt_random_ammo	183.697540 329.776489 208.380981	0.194 0.001 0.175
ttt_random_ammo	124.355453 338.033173 208.414536	1.289 0.024 1.401
ttt_random_ammo	-846.469177 712.688599 20.380024	-0.062 -0.107 0.127
ttt_random_ammo	-879.105957 712.010376 20.364637	-0.072 -0.000 0.019
ttt_random_ammo	-917.403442 711.209900 20.326056	-0.047 -0.000 -0.032
ttt_random_ammo	-1107.851807 905.824341 0.323490	-0.047 -0.000 -0.033
ttt_random_ammo	-1077.179443 906.528625 0.462702	-1.131 -0.029 1.374
ttt_random_ammo	-443.085815 1240.507568 0.320128	0.047 0.000 -0.034
ttt_random_ammo	-468.989136 1242.557495 0.349045	0.051 0.000 -0.014
ttt_random_ammo	-68.829544 1297.245605 0.381000	0.192 0.001 0.173
ttt_random_ammo	-91.239151 1288.061035 0.363505	0.072 0.000 0.019
ttt_random_ammo	-51.692150 1230.072754 0.353354	0.055 0.000 -0.008
ttt_random_ammo	-54.896980 1251.532471 0.387599	0.367 -0.002 -0.389
ttt_playerspawn	-175.967255 -14.939098 0.568105	0.007 -0.021 0.108
ttt_playerspawn	-229.597885 -17.254728 0.564130	0.007 -0.001 0.121
ttt_playerspawn	-273.885925 -18.816040 0.558164	-0.204 0.063 -0.071
ttt_playerspawn	-344.023621 -9.984256 0.546861	-0.051 -0.000 0.051
ttt_playerspawn	-419.476563 -5.863065 0.569537	-0.029 -0.000 0.029
ttt_playerspawn	-404.037201 59.594368 0.524855	-0.072 -0.000 0.072
ttt_playerspawn	-337.816864 61.734356 0.546055	-0.052 -0.000 0.052
ttt_playerspawn	-282.379578 59.685917 0.568944	-0.104 0.058 -0.006
ttt_playerspawn	-219.314117 54.526955 0.518570	-0.080 -0.000 0.080
ttt_playerspawn	-166.153275 54.145206 0.514802	-0.083 -0.000 0.083
ttt_playerspawn	-105.509300 53.783531 0.527821	-0.071 -0.000 0.071
ttt_playerspawn	-48.403774 53.442867 0.545788	-0.053 -0.000 0.053
ttt_playerspawn	5.184378 53.123543 0.528901	-0.069 -0.000 0.069
ttt_playerspawn	58.772709 52.804405 0.522171	-0.076 -0.000 0.076
ttt_playerspawn	110.566399 51.638226 0.578639	-0.021 -0.000 0.021
ttt_playerspawn	156.330353 51.690800 0.555422	-0.043 -0.000 0.043
ttt_playerspawn	208.311234 49.957150 0.514803	-0.083 -0.000 0.083
ttt_playerspawn	259.660004 50.244473 0.542422	-0.056 -0.000 0.056
ttt_playerspawn	271.629272 -15.026323 0.589187	0.002 -0.026 0.036
ttt_playerspawn	338.071899 -17.835800 0.576866	-0.199 -0.026 -0.126
ttt_playerspawn	319.507935 41.893169 0.541548	-0.057 -0.000 0.057
ttt_playerspawn	370.473633 41.852570 0.551497	-0.183 -0.130 -0.029
ttt_playerspawn	416.343323 -20.278181 0.523714	-0.073 -0.000 0.073
ttt_playerspawn	417.275024 38.396275 0.538224	-0.059 -0.000 0.059
ttt_playerspawn	414.655426 101.806107 0.546055	-0.052 -0.000 0.052
ttt_playerspawn	350.331146 114.647255 0.533391	-0.064 -0.000 0.064
ttt_playerspawn	297.374268 111.814301 0.546861	-0.051 -0.000 0.051
ttt_playerspawn	227.147186 119.103828 0.542706	-0.055 -0.000 0.055
ttt_playerspawn	163.327286 118.749313 0.542706	-0.055 -0.000 0.055
ttt_playerspawn	97.917519 118.386856 0.521379	-0.075 -0.000 0.075
ttt_playerspawn	34.805504 118.034515 0.538224	-0.059 -0.000 0.059
ttt_playerspawn	-27.754349 117.689369 0.530310	-0.067 -0.000 0.067
ttt_playerspawn	-88.098610 116.569084 0.518972	-0.078 -0.000 0.078
ttt_playerspawn	-144.591339 115.959084 0.538224	-0.059 -0.000 0.059
ttt_playerspawn	-200.729218 113.277832 0.568608	-0.030 -0.000 0.030
ttt_playerspawn	-256.420319 111.642998 0.515223	-0.081 -0.000 0.081
ttt_playerspawn	-323.998077 109.452728 0.547656	-0.050 -0.000 0.050
ttt_playerspawn	-381.460480 122.590836 0.525980	-0.071 -0.000 0.071
